model,corruption,severity,all_dice,all_la,coverage,kept_dice,kept_la,kept_n
baseline,blur,1,0.80369098,0.7141385628140704,0.57,0.8405645350877193,0.7783073070175439,114
laweighted,blur,1,0.797824755,0.6982651100000001,0.64,0.849488,0.7976221875,128
baseline,blur,2,0.697431815,0.5950845499999999,0.015,0.830603,0.7609373333333332,3
laweighted,blur,2,0.75035483,0.65338784,0.14,0.7795510714285714,0.6067084285714285,28
baseline,blur,3,0.379210785,0.308287215,0.0,,,0
laweighted,blur,3,0.59520856,0.43257455,0.015,0.5603376666666667,0.032203333333333334,3
baseline,contrast,1,0.8178947700000001,0.7271523049999999,0.68,0.8564038970588235,0.8108758308823529,136
laweighted,contrast,1,0.8156731699999998,0.7214663819095477,0.7,0.8589470857142859,0.8140164142857144,140
baseline,contrast,2,0.8131018,0.720313455,0.625,0.8544141599999999,0.8110391279999999,125
laweighted,contrast,2,0.81150462,0.7173671859296483,0.635,0.866149244094488,0.8351740708661418,127
baseline,contrast,3,0.80314839,0.7080154120603014,0.5,0.8590392899999999,0.8281538600000001,100
laweighted,contrast,3,0.8030458450000001,0.7105219095477388,0.515,0.8693992621359222,0.8482624757281552,103
baseline,gain,1,0.8186700849999999,0.728142095,0.68,0.8575798161764706,0.8110748970588235,136
laweighted,gain,1,0.81766566,0.7241234623115578,0.715,0.8604316923076925,0.8169229440559439,143
baseline,gain,2,0.8167012849999999,0.723900325,0.66,0.8546496515151514,0.8040162121212121,132
laweighted,gain,2,0.8170111400000001,0.723334592964824,0.715,0.8601440839160839,0.818387006993007,143
baseline,gain,3,0.812127075,0.71573233,0.635,0.8526731968503938,0.8037659921259843,127
laweighted,gain,3,0.81394556,0.7184130351758795,0.655,0.8597176106870229,0.8197942213740459,131
baseline,noise,1,0.814229785,0.7269006446700509,0.595,0.8429508235294118,0.7776787881355931,119
laweighted,noise,1,0.8050978499999999,0.7033858787878787,0.605,0.8473033636363636,0.7846552479338843,121
baseline,noise,2,0.7747575050000001,0.6682669278350515,0.295,0.8249130169491525,0.7327385344827586,59
laweighted,noise,2,0.756563025,0.6258955577889447,0.28,0.8033259107142856,0.6717842727272727,56
baseline,noise,3,0.66438113,0.48060312182741116,0.035,0.6793624285714286,0.37386814285714287,7
laweighted,noise,3,0.6548030149999999,0.460487175879397,0.045,0.6421932222222222,0.2945201111111111,9
baseline,occlusion,1,0.6709507049999999,0.529227405,0.085,0.7844335882352941,0.6853426470588236,17
laweighted,occlusion,1,0.720907025,0.63356671,0.16,0.83002703125,0.78662853125,32
baseline,occlusion,2,0.586410425,0.41177723,0.015,0.7859606666666666,0.7620003333333334,3
laweighted,occlusion,2,0.6457814300000001,0.552318815,0.09,0.7869953333333333,0.7636684444444444,18
baseline,occlusion,3,0.53103772,0.34054165999999997,0.01,0.7735715000000001,0.7569505,2
laweighted,occlusion,3,0.590901305,0.47733658,0.05,0.7505073,0.7212712,10
